# openbim.ifc direct-structural-catalog v1
schema	IFC2X3_TC1	653	327
entity	IfcClassificationNotation	-	NotationFacets
entity	IfcClassificationNotationFacet	-	NotationValue
entity	IfcClassificationReference	IfcExternalReference	ReferencedSource
entity	IfcClosedShell	IfcConnectedFaceSet	-
entity	IfcCoilType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcColourRgb	IfcColourSpecification	Red,Green,Blue
entity	IfcColourSpecification	-	Name
entity	IfcColumn	IfcBuildingElement	-
entity	IfcColumnType	IfcBuildingElementType	PredefinedType
entity	IfcComplexProperty	IfcProperty	UsageName,HasProperties
entity	IfcCompositeCurve	IfcBoundedCurve	Segments,SelfIntersect
entity	IfcCompositeCurveSegment	IfcGeometricRepresentationItem	Transition,SameSense,ParentCurve
entity	IfcCompositeProfileDef	IfcProfileDef	Profiles,Label
entity	IfcCompressorType	IfcFlowMovingDeviceType	PredefinedType
entity	IfcCondenserType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcCondition	IfcGroup	-
entity	IfcConditionCriterion	IfcControl	Criterion,CriterionDateTime
entity	IfcConic	IfcCurve	Position
entity	IfcConnectedFaceSet	IfcTopologicalRepresentationItem	CfsFaces
entity	IfcConnectionCurveGeometry	IfcConnectionGeometry	CurveOnRelatingElement,CurveOnRelatedElement
entity	IfcConnectionGeometry	-	-
entity	IfcConnectionPointEccentricity	IfcConnectionPointGeometry	EccentricityInX,EccentricityInY,EccentricityInZ
entity	IfcConnectionPointGeometry	IfcConnectionGeometry	PointOnRelatingElement,PointOnRelatedElement
entity	IfcConnectionPortGeometry	IfcConnectionGeometry	LocationAtRelatingElement,LocationAtRelatedElement,ProfileOfPort
entity	IfcConnectionSurfaceGeometry	IfcConnectionGeometry	SurfaceOnRelatingElement,SurfaceOnRelatedElement
entity	IfcConstraint	-	Name,Description,ConstraintGrade,ConstraintSource,CreatingActor,CreationTime,UserDefinedGrade
entity	IfcConstraintAggregationRelationship	-	Name,Description,RelatingConstraint,RelatedConstraints,LogicalAggregator
entity	IfcConstraintClassificationRelationship	-	ClassifiedConstraint,RelatedClassifications
entity	IfcConstraintRelationship	-	Name,Description,RelatingConstraint,RelatedConstraints
entity	IfcConstructionEquipmentResource	IfcConstructionResource	-
entity	IfcConstructionMaterialResource	IfcConstructionResource	Suppliers,UsageRatio
entity	IfcConstructionProductResource	IfcConstructionResource	-
entity	IfcConstructionResource	IfcResource	ResourceIdentifier,ResourceGroup,ResourceConsumption,BaseQuantity
entity	IfcContextDependentUnit	IfcNamedUnit	Name
entity	IfcControl	IfcObject	-
entity	IfcControllerType	IfcDistributionControlElementType	PredefinedType
entity	IfcConversionBasedUnit	IfcNamedUnit	Name,ConversionFactor
entity	IfcCooledBeamType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcCoolingTowerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcCoordinatedUniversalTimeOffset	-	HourOffset,MinuteOffset,Sense
entity	IfcCostItem	IfcControl	-
entity	IfcCostSchedule	IfcControl	SubmittedBy,PreparedBy,SubmittedOn,Status,TargetUsers,UpdateDate,ID,PredefinedType
entity	IfcCostValue	IfcAppliedValue	CostType,Condition
entity	IfcCovering	IfcBuildingElement	PredefinedType
entity	IfcCoveringType	IfcBuildingElementType	PredefinedType
entity	IfcCraneRailAShapeProfileDef	IfcParameterizedProfileDef	OverallHeight,BaseWidth2,Radius,HeadWidth,HeadDepth2,HeadDepth3,WebThickness,BaseWidth4,BaseDepth1,BaseDepth2,BaseDepth3,CentreOfGravityInY
entity	IfcCraneRailFShapeProfileDef	IfcParameterizedProfileDef	OverallHeight,HeadWidth,Radius,HeadDepth2,HeadDepth3,WebThickness,BaseDepth1,BaseDepth2,CentreOfGravityInY
entity	IfcCrewResource	IfcConstructionResource	-
entity	IfcCsgPrimitive3D	IfcGeometricRepresentationItem	Position
entity	IfcCsgSolid	IfcSolidModel	TreeRootExpression
entity	IfcCurrencyRelationship	-	RelatingMonetaryUnit,RelatedMonetaryUnit,ExchangeRate,RateDateTime,RateSource
entity	IfcCurtainWall	IfcBuildingElement	-
entity	IfcCurtainWallType	IfcBuildingElementType	PredefinedType
entity	IfcCurve	IfcGeometricRepresentationItem	-
entity	IfcCurveBoundedPlane	IfcBoundedSurface	BasisSurface,OuterBoundary,InnerBoundaries
entity	IfcCurveStyle	IfcPresentationStyle	CurveFont,CurveWidth,CurveColour
entity	IfcCurveStyleFont	-	Name,PatternList
entity	IfcCurveStyleFontAndScaling	-	Name,CurveFont,CurveFontScaling
entity	IfcCurveStyleFontPattern	-	VisibleSegmentLength,InvisibleSegmentLength
entity	IfcDamperType	IfcFlowControllerType	PredefinedType
entity	IfcDateAndTime	-	DateComponent,TimeComponent
entity	IfcDefinedSymbol	IfcGeometricRepresentationItem	Definition,Target
entity	IfcDerivedProfileDef	IfcProfileDef	ParentProfile,Operator,Label
entity	IfcDerivedUnit	-	Elements,UnitType,UserDefinedType
entity	IfcDerivedUnitElement	-	Unit,Exponent
entity	IfcDiameterDimension	IfcDimensionCurveDirectedCallout	-
entity	IfcDimensionCalloutRelationship	IfcDraughtingCalloutRelationship	-
entity	IfcDimensionCurve	IfcAnnotationCurveOccurrence	-
entity	IfcDimensionCurveDirectedCallout	IfcDraughtingCallout	-
entity	IfcDimensionCurveTerminator	IfcTerminatorSymbol	Role
entity	IfcDimensionPair	IfcDraughtingCalloutRelationship	-
entity	IfcDimensionalExponents	-	LengthExponent,MassExponent,TimeExponent,ElectricCurrentExponent,ThermodynamicTemperatureExponent,AmountOfSubstanceExponent,LuminousIntensityExponent
entity	IfcDirection	IfcGeometricRepresentationItem	DirectionRatios
entity	IfcDiscreteAccessory	IfcElementComponent	-
entity	IfcDiscreteAccessoryType	IfcElementComponentType	-
entity	IfcDistributionChamberElement	IfcDistributionFlowElement	-
entity	IfcDistributionChamberElementType	IfcDistributionFlowElementType	PredefinedType
entity	IfcDistributionControlElement	IfcDistributionElement	ControlElementId
entity	IfcDistributionControlElementType	IfcDistributionElementType	-
entity	IfcDistributionElement	IfcElement	-
entity	IfcDistributionElementType	IfcElementType	-
entity	IfcDistributionFlowElement	IfcDistributionElement	-
entity	IfcDistributionFlowElementType	IfcDistributionElementType	-
entity	IfcDistributionPort	IfcPort	FlowDirection
entity	IfcDocumentElectronicFormat	-	FileExtension,MimeContentType,MimeSubtype
entity	IfcDocumentInformation	-	DocumentId,Name,Description,DocumentReferences,Purpose,IntendedUse,Scope,Revision,DocumentOwner,Editors,CreationTime,LastRevisionTime,ElectronicFormat,ValidFrom,ValidUntil,Confidentiality,Status
entity	IfcDocumentInformationRelationship	-	RelatingDocument,RelatedDocuments,RelationshipType
entity	IfcDocumentReference	IfcExternalReference	-
entity	IfcDoor	IfcBuildingElement	OverallHeight,OverallWidth
entity	IfcDoorLiningProperties	IfcPropertySetDefinition	LiningDepth,LiningThickness,ThresholdDepth,ThresholdThickness,TransomThickness,TransomOffset,LiningOffset,ThresholdOffset,CasingThickness,CasingDepth,ShapeAspectStyle
entity	IfcDoorPanelProperties	IfcPropertySetDefinition	PanelDepth,PanelOperation,PanelWidth,PanelPosition,ShapeAspectStyle
entity	IfcDoorStyle	IfcTypeProduct	OperationType,ConstructionType,ParameterTakesPrecedence,Sizeable
entity	IfcDraughtingCallout	IfcGeometricRepresentationItem	Contents
entity	IfcDraughtingCalloutRelationship	-	Name,Description,RelatingDraughtingCallout,RelatedDraughtingCallout
entity	IfcDraughtingPreDefinedColour	IfcPreDefinedColour	-
entity	IfcDraughtingPreDefinedCurveFont	IfcPreDefinedCurveFont	-
entity	IfcDraughtingPreDefinedTextFont	IfcPreDefinedTextFont	-
entity	IfcDuctFittingType	IfcFlowFittingType	PredefinedType
entity	IfcDuctSegmentType	IfcFlowSegmentType	PredefinedType
entity	IfcDuctSilencerType	IfcFlowTreatmentDeviceType	PredefinedType
entity	IfcEdge	IfcTopologicalRepresentationItem	EdgeStart,EdgeEnd
entity	IfcEdgeCurve	IfcEdge	EdgeGeometry,SameSense
entity	IfcEdgeFeature	IfcFeatureElementSubtraction	FeatureLength
entity	IfcEdgeLoop	IfcLoop	EdgeList
entity	IfcElectricApplianceType	IfcFlowTerminalType	PredefinedType
entity	IfcElectricDistributionPoint	IfcFlowController	DistributionPointFunction,UserDefinedFunction
entity	IfcElectricFlowStorageDeviceType	IfcFlowStorageDeviceType	PredefinedType
entity	IfcElectricGeneratorType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcElectricHeaterType	IfcFlowTerminalType	PredefinedType
entity	IfcElectricMotorType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcElectricTimeControlType	IfcFlowControllerType	PredefinedType
entity	IfcElectricalBaseProperties	IfcEnergyProperties	ElectricCurrentType,InputVoltage,InputFrequency,FullLoadCurrent,MinimumCircuitCurrent,MaximumPowerInput,RatedPowerInput,InputPhase
entity	IfcElectricalCircuit	IfcSystem	-
entity	IfcElectricalElement	IfcElement	-
entity	IfcElement	IfcProduct	Tag
entity	IfcElementAssembly	IfcElement	AssemblyPlace,PredefinedType
entity	IfcElementComponent	IfcElement	-
entity	IfcElementComponentType	IfcElementType	-
entity	IfcElementQuantity	IfcPropertySetDefinition	MethodOfMeasurement,Quantities
entity	IfcElementType	IfcTypeProduct	ElementType
entity	IfcElementarySurface	IfcSurface	Position
entity	IfcEllipse	IfcConic	SemiAxis1,SemiAxis2
entity	IfcEllipseProfileDef	IfcParameterizedProfileDef	SemiAxis1,SemiAxis2
entity	IfcEnergyConversionDevice	IfcDistributionFlowElement	-
entity	IfcEnergyConversionDeviceType	IfcDistributionFlowElementType	-
entity	IfcEnergyProperties	IfcPropertySetDefinition	EnergySequence,UserDefinedEnergySequence
entity	IfcEnvironmentalImpactValue	IfcAppliedValue	ImpactType,Category,UserDefinedCategory
entity	IfcEquipmentElement	IfcElement	-
entity	IfcEquipmentStandard	IfcControl	-
entity	IfcEvaporativeCoolerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcEvaporatorType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcExtendedMaterialProperties	IfcMaterialProperties	ExtendedProperties,Description,Name
entity	IfcExternalReference	-	Location,ItemReference,Name
entity	IfcExternallyDefinedHatchStyle	IfcExternalReference	-
entity	IfcExternallyDefinedSurfaceStyle	IfcExternalReference	-
entity	IfcExternallyDefinedSymbol	IfcExternalReference	-
entity	IfcExternallyDefinedTextFont	IfcExternalReference	-
entity	IfcExtrudedAreaSolid	IfcSweptAreaSolid	ExtrudedDirection,Depth
entity	IfcFace	IfcTopologicalRepresentationItem	Bounds
entity	IfcFaceBasedSurfaceModel	IfcGeometricRepresentationItem	FbsmFaces
entity	IfcFaceBound	IfcTopologicalRepresentationItem	Bound,Orientation
entity	IfcFaceOuterBound	IfcFaceBound	-
entity	IfcFaceSurface	IfcFace	FaceSurface,SameSense
entity	IfcFacetedBrep	IfcManifoldSolidBrep	-
entity	IfcFacetedBrepWithVoids	IfcManifoldSolidBrep	Voids
entity	IfcFailureConnectionCondition	IfcStructuralConnectionCondition	TensionFailureX,TensionFailureY,TensionFailureZ,CompressionFailureX,CompressionFailureY,CompressionFailureZ
entity	IfcFanType	IfcFlowMovingDeviceType	PredefinedType
entity	IfcFastener	IfcElementComponent	-
entity	IfcFastenerType	IfcElementComponentType	-
entity	IfcFeatureElement	IfcElement	-
entity	IfcFeatureElementAddition	IfcFeatureElement	-
entity	IfcFeatureElementSubtraction	IfcFeatureElement	-
entity	IfcFillAreaStyle	IfcPresentationStyle	FillStyles
entity	IfcFillAreaStyleHatching	IfcGeometricRepresentationItem	HatchLineAppearance,StartOfNextHatchLine,PointOfReferenceHatchLine,PatternStart,HatchLineAngle
entity	IfcFillAreaStyleTileSymbolWithStyle	IfcGeometricRepresentationItem	Symbol
entity	IfcFillAreaStyleTiles	IfcGeometricRepresentationItem	TilingPattern,Tiles,TilingScale
entity	IfcFilterType	IfcFlowTreatmentDeviceType	PredefinedType
entity	IfcFireSuppressionTerminalType	IfcFlowTerminalType	PredefinedType
entity	IfcFlowController	IfcDistributionFlowElement	-
entity	IfcFlowControllerType	IfcDistributionFlowElementType	-
entity	IfcFlowFitting	IfcDistributionFlowElement	-
entity	IfcFlowFittingType	IfcDistributionFlowElementType	-
entity	IfcFlowInstrumentType	IfcDistributionControlElementType	PredefinedType
entity	IfcFlowMeterType	IfcFlowControllerType	PredefinedType
entity	IfcFlowMovingDevice	IfcDistributionFlowElement	-
entity	IfcFlowMovingDeviceType	IfcDistributionFlowElementType	-
entity	IfcFlowSegment	IfcDistributionFlowElement	-
entity	IfcFlowSegmentType	IfcDistributionFlowElementType	-
entity	IfcFlowStorageDevice	IfcDistributionFlowElement	-
entity	IfcFlowStorageDeviceType	IfcDistributionFlowElementType	-
entity	IfcFlowTerminal	IfcDistributionFlowElement	-
entity	IfcFlowTerminalType	IfcDistributionFlowElementType	-
entity	IfcFlowTreatmentDevice	IfcDistributionFlowElement	-
entity	IfcFlowTreatmentDeviceType	IfcDistributionFlowElementType	-
entity	IfcFluidFlowProperties	IfcPropertySetDefinition	PropertySource,FlowConditionTimeSeries,VelocityTimeSeries,FlowrateTimeSeries,Fluid,PressureTimeSeries,UserDefinedPropertySource,TemperatureSingleValue,WetBulbTemperatureSingleValue,WetBulbTemperatureTimeSeries,TemperatureTimeSeries,FlowrateSingleValue,FlowConditionSingleValue,VelocitySingleValue,PressureSingleValue
entity	IfcFooting	IfcBuildingElement	PredefinedType
entity	IfcFuelProperties	IfcMaterialProperties	CombustionTemperature,CarbonContent,LowerHeatingValue,HigherHeatingValue
entity	IfcFurnishingElement	IfcElement	-
entity	IfcFurnishingElementType	IfcElementType	-
entity	IfcFurnitureStandard	IfcControl	-
entity	IfcFurnitureType	IfcFurnishingElementType	AssemblyPlace
entity	IfcGasTerminalType	IfcFlowTerminalType	PredefinedType
entity	IfcGeneralMaterialProperties	IfcMaterialProperties	MolecularWeight,Porosity,MassDensity
entity	IfcGeneralProfileProperties	IfcProfileProperties	PhysicalWeight,Perimeter,MinimumPlateThickness,MaximumPlateThickness,CrossSectionArea
entity	IfcGeometricCurveSet	IfcGeometricSet	-
entity	IfcGeometricRepresentationContext	IfcRepresentationContext	CoordinateSpaceDimension,Precision,WorldCoordinateSystem,TrueNorth
entity	IfcGeometricRepresentationItem	IfcRepresentationItem	-
entity	IfcGeometricRepresentationSubContext	IfcGeometricRepresentationContext	ParentContext,TargetScale,TargetView,UserDefinedTargetView
entity	IfcGeometricSet	IfcGeometricRepresentationItem	Elements
entity	IfcGrid	IfcProduct	UAxes,VAxes,WAxes
entity	IfcGridAxis	-	AxisTag,AxisCurve,SameSense
entity	IfcGridPlacement	IfcObjectPlacement	PlacementLocation,PlacementRefDirection
entity	IfcGroup	IfcObject	-
entity	IfcHalfSpaceSolid	IfcGeometricRepresentationItem	BaseSurface,AgreementFlag
entity	IfcHeatExchangerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcHumidifierType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcHygroscopicMaterialProperties	IfcMaterialProperties	UpperVaporResistanceFactor,LowerVaporResistanceFactor,IsothermalMoistureCapacity,VaporPermeability,MoistureDiffusivity
entity	IfcIShapeProfileDef	IfcParameterizedProfileDef	OverallWidth,OverallDepth,WebThickness,FlangeThickness,FilletRadius
entity	IfcImageTexture	IfcSurfaceTexture	UrlReference
entity	IfcInventory	IfcGroup	InventoryType,Jurisdiction,ResponsiblePersons,LastUpdateDate,CurrentValue,OriginalValue
entity	IfcIrregularTimeSeries	IfcTimeSeries	Values
entity	IfcIrregularTimeSeriesValue	-	TimeStamp,ListValues
entity	IfcJunctionBoxType	IfcFlowFittingType	PredefinedType
entity	IfcLShapeProfileDef	IfcParameterizedProfileDef	Depth,Width,Thickness,FilletRadius,EdgeRadius,LegSlope,CentreOfGravityInX,CentreOfGravityInY
entity	IfcLaborResource	IfcConstructionResource	SkillSet
entity	IfcLampType	IfcFlowTerminalType	PredefinedType
entity	IfcLibraryInformation	-	Name,Version,Publisher,VersionDate,LibraryReference
entity	IfcLibraryReference	IfcExternalReference	-
entity	IfcLightDistributionData	-	MainPlaneAngle,SecondaryPlaneAngle,LuminousIntensity
entity	IfcLightFixtureType	IfcFlowTerminalType	PredefinedType
entity	IfcLightIntensityDistribution	-	LightDistributionCurve,DistributionData
entity	IfcLightSource	IfcGeometricRepresentationItem	Name,LightColour,AmbientIntensity,Intensity
entity	IfcLightSourceAmbient	IfcLightSource	-
entity	IfcLightSourceDirectional	IfcLightSource	Orientation
entity	IfcLightSourceGoniometric	IfcLightSource	Position,ColourAppearance,ColourTemperature,LuminousFlux,LightEmissionSource,LightDistributionDataSource
entity	IfcLightSourcePositional	IfcLightSource	Position,Radius,ConstantAttenuation,DistanceAttenuation,QuadricAttenuation
entity	IfcLightSourceSpot	IfcLightSourcePositional	Orientation,ConcentrationExponent,SpreadAngle,BeamWidthAngle
entity	IfcLine	IfcCurve	Pnt,Dir
entity	IfcLinearDimension	IfcDimensionCurveDirectedCallout	-
entity	IfcLocalPlacement	IfcObjectPlacement	PlacementRelTo,RelativePlacement
entity	IfcLocalTime	-	HourComponent,MinuteComponent,SecondComponent,Zone,DaylightSavingOffset
entity	IfcLoop	IfcTopologicalRepresentationItem	-
entity	IfcManifoldSolidBrep	IfcSolidModel	Outer
entity	IfcMappedItem	IfcRepresentationItem	MappingSource,MappingTarget
entity	IfcMaterial	-	Name
entity	IfcMaterialClassificationRelationship	-	MaterialClassifications,ClassifiedMaterial
entity	IfcMaterialDefinitionRepresentation	IfcProductRepresentation	RepresentedMaterial
entity	IfcMaterialLayer	-	Material,LayerThickness,IsVentilated
entity	IfcMaterialLayerSet	-	MaterialLayers,LayerSetName
entity	IfcMaterialLayerSetUsage	-	ForLayerSet,LayerSetDirection,DirectionSense,OffsetFromReferenceLine
entity	IfcMaterialList	-	Materials
