# openbim.ifc structural-catalog v1
schema	IFC4X3_ADD2	876	436
entity	IfcArbitraryOpenProfileDef	IfcProfileDef	ProfileType,ProfileName,Curve
entity	IfcArbitraryProfileDefWithVoids	IfcArbitraryClosedProfileDef,IfcProfileDef	ProfileType,ProfileName,OuterCurve,InnerCurves
entity	IfcAsset	IfcGroup,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,Identification,OriginalValue,CurrentValue,TotalReplacementCost,Owner,User,ResponsiblePerson,IncorporationDate,DepreciatedValue
entity	IfcAsymmetricIShapeProfileDef	IfcParameterizedProfileDef,IfcProfileDef	ProfileType,ProfileName,Position,BottomFlangeWidth,OverallDepth,WebThickness,BottomFlangeThickness,BottomFlangeFilletRadius,TopFlangeWidth,TopFlangeThickness,TopFlangeFilletRadius,BottomFlangeEdgeRadius,BottomFlangeSlope,TopFlangeEdgeRadius,TopFlangeSlope
entity	IfcAudioVisualAppliance	IfcFlowTerminal,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcAudioVisualApplianceType	IfcFlowTerminalType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcAxis1Placement	IfcPlacement,IfcGeometricRepresentationItem,IfcRepresentationItem	Location,Axis
entity	IfcAxis2Placement2D	IfcPlacement,IfcGeometricRepresentationItem,IfcRepresentationItem	Location,RefDirection
entity	IfcAxis2Placement3D	IfcPlacement,IfcGeometricRepresentationItem,IfcRepresentationItem	Location,Axis,RefDirection
entity	IfcAxis2PlacementLinear	IfcPlacement,IfcGeometricRepresentationItem,IfcRepresentationItem	Location,Axis,RefDirection
entity	IfcBSplineCurve	IfcBoundedCurve,IfcCurve,IfcGeometricRepresentationItem,IfcRepresentationItem	Degree,ControlPointsList,CurveForm,ClosedCurve,SelfIntersect
entity	IfcBSplineCurveWithKnots	IfcBSplineCurve,IfcBoundedCurve,IfcCurve,IfcGeometricRepresentationItem,IfcRepresentationItem	Degree,ControlPointsList,CurveForm,ClosedCurve,SelfIntersect,KnotMultiplicities,Knots,KnotSpec
entity	IfcBSplineSurface	IfcBoundedSurface,IfcSurface,IfcGeometricRepresentationItem,IfcRepresentationItem	UDegree,VDegree,ControlPointsList,SurfaceForm,UClosed,VClosed,SelfIntersect
