# openbim.ifc direct-structural-catalog v1
schema	IFC4_ADD2_TC1	776	397
entity	IfcCartesianPointList	IfcGeometricRepresentationItem	-
entity	IfcCartesianPointList2D	IfcCartesianPointList	CoordList
entity	IfcCartesianPointList3D	IfcCartesianPointList	CoordList
entity	IfcCartesianTransformationOperator	IfcGeometricRepresentationItem	Axis1,Axis2,LocalOrigin,Scale
entity	IfcCartesianTransformationOperator2D	IfcCartesianTransformationOperator	-
entity	IfcCartesianTransformationOperator2DnonUniform	IfcCartesianTransformationOperator2D	Scale2
entity	IfcCartesianTransformationOperator3D	IfcCartesianTransformationOperator	Axis3
entity	IfcCartesianTransformationOperator3DnonUniform	IfcCartesianTransformationOperator3D	Scale2,Scale3
entity	IfcCenterLineProfileDef	IfcArbitraryOpenProfileDef	Thickness
entity	IfcChiller	IfcEnergyConversionDevice	PredefinedType
entity	IfcChillerType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcChimney	IfcBuildingElement	PredefinedType
entity	IfcChimneyType	IfcBuildingElementType	PredefinedType
entity	IfcCircle	IfcConic	Radius
entity	IfcCircleHollowProfileDef	IfcCircleProfileDef	WallThickness
entity	IfcCircleProfileDef	IfcParameterizedProfileDef	Radius
entity	IfcCivilElement	IfcElement	-
entity	IfcCivilElementType	IfcElementType	-
entity	IfcClassification	IfcExternalInformation	Source,Edition,EditionDate,Name,Description,Location,ReferenceTokens
entity	IfcClassificationReference	IfcExternalReference	ReferencedSource,Description,Sort
entity	IfcClosedShell	IfcConnectedFaceSet	-
entity	IfcCoil	IfcEnergyConversionDevice	PredefinedType
entity	IfcCoilType	IfcEnergyConversionDeviceType	PredefinedType
entity	IfcColourRgb	IfcColourSpecification	Red,Green,Blue
entity	IfcColourRgbList	IfcPresentationItem	ColourList
entity	IfcColourSpecification	IfcPresentationItem	Name
entity	IfcColumn	IfcBuildingElement	PredefinedType
entity	IfcColumnStandardCase	IfcColumn	-
entity	IfcColumnType	IfcBuildingElementType	PredefinedType
entity	IfcCommunicationsAppliance	IfcFlowTerminal	PredefinedType
entity	IfcCommunicationsApplianceType	IfcFlowTerminalType	PredefinedType
entity	IfcComplexProperty	IfcProperty	UsageName,HasProperties
entity	IfcComplexPropertyTemplate	IfcPropertyTemplate	UsageName,TemplateType,HasPropertyTemplates
entity	IfcCompositeCurve	IfcBoundedCurve	Segments,SelfIntersect
entity	IfcCompositeCurveOnSurface	IfcCompositeCurve	-
entity	IfcCompositeCurveSegment	IfcGeometricRepresentationItem	Transition,SameSense,ParentCurve
